X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1751614.2548,5913833.3486,416224,8346-ec6c0481,8346,GLENAVON SCHOOL,,STOP,-36.90933,174.7019,,BUS
1751624.7067,5913170.6073,416225,8347-15d2da07,8347,BLOCKHOUSE BAY ROAD/PUKETEA STREET,,STOP,-36.9153,174.70215,,BUS
1751624.6483,5913416.9856,416226,8348-32ee99c3,8348,BLOCKHOUSE BAY ROAD/MATATA STREET,,STOP,-36.91308,174.7021,,BUS
1751632.7046,5913169.3547,416227,8350-34c5ce4c,8350,BLOCKHOUSE BAY ROAD/PUKETEA STREET,,STOP,-36.91531,174.70224,,BUS
1751638.2241,5912729.7721,416228,8351-0e2339d6,8351,RATHLIN STREET,,STOP,-36.91927,174.70239,,BUS
1751533.9599,5912429.7651,416229,8353-8a002505,8353,STOP C BLOCKHOUSE BAY,,STOP,-36.92199,174.70128,11199-56ac4c1e,BUS
1751645.1134,5912766.2728,416230,8354-76f8eda6,8354,RATHLIN STREET,,STOP,-36.91894,174.70246,,BUS
1751566.5015,5912156.1714,416231,8355-34ef1334,8355,STOP A BLOCKHOUSE BAY,,STOP,-36.92445,174.7017,11200-56ac4c1e,BUS
1751546.1536,5912414.0102,416232,8356-c674baad,8356,STOP D BLOCKHOUSE BAY,,STOP,-36.92213,174.70142,11199-56ac4c1e,BUS
1750960.2046,5913738.4532,416233,8364-9d319116,8364,TAYLOR STREET/WOLVERTON STREET,,STOP,-36.91029,174.69458,,BUS
1750955.7106,5913736.3134,416234,8365-e8ad3847,8365,TAYLOR STREET/WOLVERTON STREET,,STOP,-36.91031,174.69453,,BUS
1754424.6013,5913606.2739,416235,8366-7740f316,8366,ROMA ROAD,,STOP,-36.91092,174.73348,,BUS
1751093.0085,5913438.6652,416236,8367-1e5c2666,8367,TAYLOR STREET/MATATA STREET,,STOP,-36.91297,174.69613,,BUS
1751160.3259,5913315.3893,416237,8368-372d74f6,8368,CHAUCER SCHOOL,,STOP,-36.91407,174.69691,,BUS
1751148.0116,5913324.4868,416238,8369-86f1c5f2,8369,CHAUCER SCHOOL,,STOP,-36.91399,174.69677,,BUS
1751240.9666,5913139.7146,416239,8370-525d082e,8370,TAYLOR STREET/PUKETEA STREET,,STOP,-36.91564,174.69785,,BUS
1751234.7702,5913142.0445,416240,8371-8aed17e8,8371,TAYLOR STREET/PUKETEA STREET,,STOP,-36.91562,174.69778,,BUS
1751373.3535,5912867.6736,416241,8372-05d4ca3f,8372,122 TAYLOR STREET,,STOP,-36.91807,174.69939,,BUS
