OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
63853,1804,NZB,CITY CENTRE TO NEW LYNN VIA GREAT NORTH RD,18,BUS,12917.1943777218
63854,1806,NZB,CITY CENTRE TO HENDERSON VIA GREAT NORTH RD,18,BUS,20030.0763684483
63855,1806,NZB,CITY CENTRE TO HENDERSON VIA GREAT NORTH RD,18,BUS,20038.3431306137
63856,1808,NZB,CITY CENTRE TO NEW LYNN VIA GREAT NORTH RD (L),18,BUS,12925.4611398872
63857,2005,NZB,ST LUKES TO WYNYARD QUARTER VIA KINGSLAND,20,BUS,7842.48500682987
63858,2005,NZB,ST LUKES TO WYNYARD QUARTER VIA KINGSLAND,20,BUS,7836.47585240425
63859,2006,NZB,WYNYARD QUARTER TO ST LUKES VIA KINGSLAND,20,BUS,7882.26288148029
63860,2006,NZB,WYNYARD QUARTER TO ST LUKES VIA KINGSLAND,20,BUS,7873.99611931488
63861,2201,NZB,ROSEBANK RD TO CITY CENTRE VIA NEW NORTH RD,22R,BUS,14417.6802619472
63862,2202,NZB,CITY CENTRE TO ROSEBANK RD VIA NEW NORTH RD,22R,BUS,14356.1042937949
63863,2203,NZB,NEW LYNN TO CITY CENTRE VIA NEW NORTH RD,22N,BUS,13334.911060375
63864,2204,NZB,CITY CENTRE TO NEW LYNN VIA NEW NORTH RD,22N,BUS,13627.1942386885
63865,2401,NZB,NEW LYNN TO CITY CENTRE VIA SANDINGHAM RD,24R,BUS,14590.1336540924
63866,2402,NZB,CITY CENTRE TO NEW LYNN VIA SANDRINGHAM RD,24R,BUS,14443.2412286983
63867,2403,NZB,NEW LYNN AND BLOCKHOUSE BAY TO CITY CENTRE VIA SANDRINGHAM R,24B,BUS,15899.8199929656
63868,2404,NZB,CITY CENTRE TO BLOCKHOUSE BAY NEW LYNN VIA SANDRINGHAM RD,24B,BUS,15777.9960483217
63869,2405,NZB,BLOCKHOUSE BAY TO CITY CENTRE VIA SANDRINGHAM RD,24B,BUS,13156.0472207845
63870,2406,NZB,CITY CENTRE TO BLOCKHOUSE BAY VIA SANDRINGHAM RD,24B,BUS,13105.6082817044
63871,2503,NZB,LYNFIELD TO CITY CENTRE VIA DOMINION RD,25L,BUS,14744.2189253517
63872,2503,NZB,LYNFIELD TO CITY CENTRE VIA DOMINION RD,25L,BUS,14746.4086955977
63873,2504,NZB,CITY CENTRE TO LYNFIELD VIA DOMINION RD,25L,BUS,14279.2613293128
63874,2504,NZB,CITY CENTRE TO LYNFIELD VIA DOMINION RD,25L,BUS,14282.5722714042
63875,2505,NZB,BLOCKHOUSE BAY TO CITY CENTRE VIA DOMINION RD,25B,BUS,13005.4378435486
63876,2505,NZB,BLOCKHOUSE BAY TO CITY CENTRE VIA DOMINION RD,25B,BUS,13003.2480733026
63877,2506,NZB,CITY CENTRE TO BLOCKHOUSE BAY VIA DOMINION RD,25B,BUS,12671.0076627503
63878,2506,NZB,CITY CENTRE TO BLOCKHOUSE BAY VIA DOMINION RD,25B,BUS,12674.3186048417
63879,2702,NZB,BRITOMART TO WAIKOWHAI VIA MT EDEN RD,27W,BUS,12892.339868136
63880,2702,NZB,BRITOMART TO WAIKOWHAI VIA MT EDEN RD,27W,BUS,12888.5316326464
63881,2704,NZB,BRITOMART TO WAIKOWHAI VIA MT EDEN RD AND HILLSBOROUGH RD,27H,BUS,12641.4990289466
63882,2704,NZB,BRITOMART TO WAIKOWHAI VIA MT EDEN RD AND HILLSBOROUGH RD,27H,BUS,12645.3072644362
63883,2705,NZB,WAIKOWHAI TO BRITOMART VIA MT EDEN RD,27W,BUS,13244.998913719
63884,2705,NZB,WAIKOWHAI TO BRITOMART VIA MT EDEN RD,27W,BUS,13247.1886839649
63885,2707,NZB,WAIKOWHAI TO BRITOMART VIA HILLSBOROUGH RD AND MT EDEN RD,27H,BUS,12990.4671077145
63886,2707,NZB,WAIKOWHAI TO BRITOMART VIA HILLSBOROUGH RD AND MT EDEN RD,27H,BUS,12988.2773374685
63887,2710,NZB,BRITOMART TO THREE KINGS VIA MT EDEN RD,27T,BUS,8239.87648809965
63888,2710,NZB,BRITOMART TO THREE KINGS VIA MT EDEN RD,27T,BUS,8243.68472358927
63889,2717,NZB,THREE KINGS TO BRITOMART VIA MT EDEN RD,27T,BUS,8708.61136605537
63890,2717,NZB,THREE KINGS TO BRITOMART VIA MT EDEN RD,27T,BUS,8706.42159580943
63891,3007,NZB,ONEHUNGA TO CITY CENTRE VIA MANUKAU RD,30,BUS,10683.039558584
63892,3008,NZB,CITY CENTRE TO ONEHUNGA VIA MANUKAU RD,30,BUS,11507.2242198359
63893,3101,GBT,MANGERE TOWN CENTRE TO BOTANY TOWN CENTRE VIA OTARA,31,BUS,17045.1485849344
63894,3102,GBT,BOTANY TOWN CENTRE TO MANGERE TOWN CENTRE VIA OTARA,31,BUS,17050.5338620511
63895,3201,GBT,MANGERE TOWN CENTRE TO SYLVIA PARK VIA OTAHUHU,32,BUS,12458.9582246369
63896,3202,GBT,SYLVIA PARK TO MANGERE TOWN CENTRE VIA OTAHUHU,32,BUS,12675.0158133329
63897,3301,RTH,PAPAKURA INTERCHANGE TO OTAHUHU STATION VIA GREAT SOUTH RD,33,BUS,20543.5888797564
63898,3301,RTH,PAPAKURA INTERCHANGE TO OTAHUHU STATION VIA GREAT SOUTH RD,33,BUS,20532.8433502356
63899,3302,RTH,OTAHUHU STATION TO PAPAKURA INTERCHANGE VIA GREAT SOUTH RD,33,BUS,20579.1948994749
63900,3302,RTH,OTAHUHU STATION TO PAPAKURA INTERCHANGE VIA GREAT SOUTH RD,33,BUS,20573.0653243522
63901,3503,HE,ORMISTON TO BOTANY VIA CHAPEL RD,35,BUS,7494.45975674645
63902,3505,HE,MANUKAU BUS STATION TO BOTANY VIA CHAPEL RD AND ORMISTON,35,BUS,13219.43849326
63903,3507,HE,MANUKAU BUS STATION TO BOTANY VIA CHAPEL RD AND ORMISTON (L),35,BUS,13219.43849326
63904,3508,HE,BOTANY TO MANUKAU BUS STATION VIA CHAPEL RD AND ORMISTON,35,BUS,12919.4637906199
63905,3510,HE,BOTANY TO MANUKAU BUS STATION VIA CHAPEL RD AND ORMISTON RD,35,BUS,12919.4637906199
63906,3512,HE,BOTANY TO MANUKAU BUS STATION VIA CHAPEL RD AND ORMISTON (L),35,BUS,12919.4637906199
63907,3601,GBT,MANUKAU TO ONEHUNGA VIA MANGERE TOWN CENTRE,36,BUS,19095.3972878275
63908,3602,GBT,ONEHUNGA TO MANUKAU VIA MANGERE TOWN CENTRE,36,BUS,18878.2942682412
63909,3803,GBT,AIRPORT TO ONEHUNGA VIA MANGERE TOWN CENTRE,38,BUS,17580.9583770318
63910,3804,GBT,ONEHUNGA TO AIRPORT VIA MANGERE TOWN CENTRE,38,BUS,14953.9505270789
63911,5001,WBC,ONETANGI (SEVENTH AVE) TO MATIATIA WHARF,50A,BUS,12029.5397742558
63912,5002,WBC,MATIATIA WHARF TO ONETANGI (SEVENTH AVE),50A,BUS,12087.7094618858
63913,5003,WBC,ONETANGI (FOURTH AVE) TO MATIATIA WHARF,50B,BUS,11179.8509896628
63914,5004,WBC,MATIATIA WHARF TO ONETANGI (FOURTH AVE),50B,BUS,11785.8000663313
63915,5006,WBC,MATIATIA WHARF TO ONETANGI (SEVENTH AVE)( L),50A,BUS,12087.7094618858
63916,5011,WBC,ONETANGI (WAIHEKE RD) TO MATIATIA WHARF,50A,BUS,14145.4591278899
63917,5012,WBC,MATIATIA WHARF TO ONETANGI (WAIHEKE RD),50A,BUS,14214.5174024008
63918,6301,NZB,ST LUKES TO NEWMARKET VIA WELLESLEY ST,OUT,BUS,15620.3783507352
63919,6301,NZB,ST LUKES TO NEWMARKET VIA WELLESLEY ST,OUT,BUS,15641.6477619117
63920,6302,NZB,NEWMARKET TO ST LUKES VIA WELLESLEY ST,OUT,BUS,16395.4892716387
63921,6302,NZB,NEWMARKET TO ST LUKES VIA WELLESLEY ST,OUT,BUS,16344.5261003822
63922,6403,NZB,ST LUKES TO NEWMARKET VIA MT EDEN,64,BUS,7512.66142373025
63923,6403,NZB,ST LUKES TO NEWMARKET VIA MT EDEN,64,BUS,7515.20014765373
63924,6404,NZB,NEWMARKET TO ST LUKES VIA MT EDEN,64,BUS,8516.63854737447
63925,6404,NZB,NEWMARKET TO ST LUKES VIA MT EDEN,64,BUS,8511.76006081565
63926,6501,NZB,WALKER PARK TO GLEN INNES,65,BUS,17228.4964880758
63927,6501,NZB,WALKER PARK TO GLEN INNES,65,BUS,17909.9913139354
63928,6502,NZB,GLEN INNES TO WALKER PARK,65,BUS,18055.6690494736
63929,6502,NZB,GLEN INNES TO WALKER PARK,65,BUS,18050.9028859639
63930,6503,NZB,SELWYN VILLAGE TO GLEN INNES,65,BUS,18018.895038948
63931,6503,NZB,SELWYN VILLAGE TO GLEN INNES,65,BUS,18011.949915019
63932,6504,NZB,GLEN INNES TO SELWYN VILLAGE,65,BUS,19224.8131654165
63933,6504,NZB,GLEN INNES TO SELWYN VILLAGE,65,BUS,19220.0470019068
63934,6601,PC,PT CHEVALIER BEACH TO SYLVIA PARK VIA MT ALBERT RD,66,BUS,18791.341903728
63935,6601,PC,PT CHEVALIER BEACH TO SYLVIA PARK VIA MT ALBERT RD,66,BUS,18783.9924002641
